観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),9日の最高気温(℃),9日の最高気温の品質情報,9日の最高気温起時（時）,9日の最高気温起時（分）,9日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（8日まで）,今年の最高気温（8日まで）の品質情報,今年の最高気温（8日まで）を観測した起日（年）,今年の最高気温（8日まで）を観測した起日（月）,今年の最高気温（8日まで）を観測した起日（日）,8日までの観測史上1位の値（℃）,8日までの観測史上1位の値の品質情報,8日までの観測史上1位の値を観測した起日（年）,8日までの観測史上1位の値を観測した起日（月）,8日までの観測史上1位の値を観測した起日（日）,8日までの11月の1位の値,8日までの11月の1位の値の品質情報,8日までの11月の1位の値の起日（年）,8日までの11月の1位の値の起日（月）,8日までの11月の1位の値の起日（日）,統計開始年
12512,北海道上川地方,志比内（シビナイ）,,2023,11,9,10,0,8.7,4,10,0,4,,,,,,,0,34.5,5,2023,8,24,35.3,8,2021,8,7,19.6,8,2003,11,3,1993
12551,北海道上川地方,美瑛（ビエイ）,,2023,11,9,10,0,9.1,4,10,0,4,,,,,,,0,34.6,5,2023,8,24,37.1,8,2021,8,7,20.2,8,2003,11,3,1977
12596,北海道上川地方,上富良野（カミフラノ）,,2023,11,9,10,0,10.6,4,9,57,4,,,,,,,0,36.4,5,2023,8,24,37.5,8,2021,8,7,20.9,8,2003,11,3,1977
12626,北海道上川地方,富良野（フラノ）,,2023,11,9,10,0,9.1,4,9,53,4,,,,,,,0,36.3,5,2023,8,24,38.5,8,2021,8,7,20.6,8,2023,11,3,1976
12632,北海道上川地方,麓郷（ロクゴウ）,,2023,11,9,10,0,9.7,4,10,0,4,,,,,,,0,35.5,5,2023,8,23,37.4,8,2021,8,7,19.4,8,2003,11,3,1978
12691,北海道上川地方,幾寅（イクトラ）,,2023,11,9,10,0,7.8,4,10,0,4,,,,,,,0,34.9,5,2023,8,24,34.9,8,2023,8,24,19.1,8,2003,11,3,1977
12746,北海道上川地方,占冠（シムカップ）,,2023,11,9,10,0,6.6,4,10,0,4,,,,,,,0,33.8,5,2023,8,23,34.6,8,2021,7,19,17.9,8,2023,11,3,1977
15041,北海道上川地方,朱鞠内（シュマリナイ）,,2023,11,9,10,0,9.0,4,9,56,4,,,,,,,0,33.1,5,2023,8,23,34.9,8,2021,7,28,18.3,8,2003,11,3,1978
15076,北海道上川地方,幌加内（ホロカナイ）,,2023,11,9,10,0,5.3,4,9,58,4,,,,,,,0,34.5,5,2023,8,24,37.3,8,2021,7,28,18.9,8,2003,11,3,1977
13061,北海道留萌地方,天塩（テシオ）,,2023,11,9,10,0,9.3,4,9,50,4,,,,,,,0,32.5,5,2023,8,24,33.8,4,2021,7,27,17.2,8,2023,11,6,1977
